batch_size,vocab_size,config_name,use_flash,seq_len,n_layers,h_dim,mlp_dim,head_dim,n_heads,compile,class,config,performance test,number of parameters,number of non-embedding parameters,device,model memory usage megabytes,step memory usage in megabytes,tokens per batch,avg step duration in ms,std step duration in ms,avg iterations per second,std iterations per second,tokens per second,OOM,flops,macs,params
1,16384,tiny,False,512,4,768,3072,64,12,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"Munch({'data_root': '/data/languini_data/books', 'dataset': 'books_16384', 'vocab_size': 16384, 'debug': False, 'seed': 0, 'gradient_accumulation_steps': 1, 'train_batch_size': 1, 'eval_batch_size': 16, 'test_batch_size': 16, 'seq_len': 512, 'max_eval_steps': 500, 'max_train_steps': 500000, 'decay_steps': 500000, 'max_lr': 0.0006, 'min_lr': 6e-06, 'grad_clip_norm': 0.0, 'tokens_per_second': 0, 'eval_every': 2500, 'test_every': -1, 'log_terminal_every': 100, 'log_metrics_every': 100, 'log_grads_every': 2500, 'log_activations_every': 2500, 'log_ckpt_every': 50000, 'logger_type': 'all', 'wandb_project_name': 'gpt', 'use_flash': False, 'n_layers': 4, 'h_dim': 768, 'mlp_dim': 3072, 'head_dim': 64, 'n_heads': 12, 'project_path': '/home/imanol/Languini/languini/projects/gpt', 'compile': 'default', 'results_pickle_file': '/tmp/tmpggeg36qk/throughput_results_bsz1.pkl', 'n_gpus': 1, 'device': 'cuda', 'exp_name': 'GPT_books16384_bsz1_sl512_coslr0.0006to6e-06_h768_ff3072_nH12_dH64_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16'})",forward and backward,53912064,41329152,NVIDIA GeForce RTX 3090,462.158203125,663.73388671875,512,20.279867308480398,1.410274422879202,49.30998732826184,3.1267588082756683,25247,False,45.13 G,20.94 GMACs,53.91 M
8,16384,tiny,False,512,4,768,3072,64,12,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"Munch({'data_root': '/data/languini_data/books', 'dataset': 'books_16384', 'vocab_size': 16384, 'debug': False, 'seed': 0, 'gradient_accumulation_steps': 1, 'train_batch_size': 8, 'eval_batch_size': 16, 'test_batch_size': 16, 'seq_len': 512, 'max_eval_steps': 500, 'max_train_steps': 500000, 'decay_steps': 500000, 'max_lr': 0.0006, 'min_lr': 6e-06, 'grad_clip_norm': 0.0, 'tokens_per_second': 0, 'eval_every': 2500, 'test_every': -1, 'log_terminal_every': 100, 'log_metrics_every': 100, 'log_grads_every': 2500, 'log_activations_every': 2500, 'log_ckpt_every': 50000, 'logger_type': 'all', 'wandb_project_name': 'gpt', 'use_flash': False, 'n_layers': 4, 'h_dim': 768, 'mlp_dim': 3072, 'head_dim': 64, 'n_heads': 12, 'project_path': '/home/imanol/Languini/languini/projects/gpt', 'compile': 'default', 'results_pickle_file': '/tmp/tmpggeg36qk/throughput_results_bsz8.pkl', 'n_gpus': 1, 'device': 'cuda', 'exp_name': 'GPT_books16384_bsz8_sl512_coslr0.0006to6e-06_h768_ff3072_nH12_dH64_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16'})",forward and backward,53912064,41329152,NVIDIA GeForce RTX 3090,462.158203125,664.26123046875,4096,37.74909537179129,0.25434408206972564,26.490701039349105,0.17736379931992444,108506,False,361.02 G,167.5 GMACs,53.91 M
16,16384,tiny,False,512,4,768,3072,64,12,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"Munch({'data_root': '/data/languini_data/books', 'dataset': 'books_16384', 'vocab_size': 16384, 'debug': False, 'seed': 0, 'gradient_accumulation_steps': 1, 'train_batch_size': 16, 'eval_batch_size': 16, 'test_batch_size': 16, 'seq_len': 512, 'max_eval_steps': 500, 'max_train_steps': 500000, 'decay_steps': 500000, 'max_lr': 0.0006, 'min_lr': 6e-06, 'grad_clip_norm': 0.0, 'tokens_per_second': 0, 'eval_every': 2500, 'test_every': -1, 'log_terminal_every': 100, 'log_metrics_every': 100, 'log_grads_every': 2500, 'log_activations_every': 2500, 'log_ckpt_every': 50000, 'logger_type': 'all', 'wandb_project_name': 'gpt', 'use_flash': False, 'n_layers': 4, 'h_dim': 768, 'mlp_dim': 3072, 'head_dim': 64, 'n_heads': 12, 'project_path': '/home/imanol/Languini/languini/projects/gpt', 'compile': 'default', 'results_pickle_file': '/tmp/tmpggeg36qk/throughput_results_bsz16.pkl', 'n_gpus': 1, 'device': 'cuda', 'exp_name': 'GPT_books16384_bsz16_sl512_coslr0.0006to6e-06_h768_ff3072_nH12_dH64_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16'})",forward and backward,53912064,41329152,NVIDIA GeForce RTX 3090,462.158203125,676.66748046875,8192,67.69247763497489,0.9421441327889978,14.772690185642233,0.20876665918450052,121018,False,722.04 G,335.01 GMACs,53.91 M
24,16384,tiny,False,512,4,768,3072,64,12,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"Munch({'data_root': '/data/languini_data/books', 'dataset': 'books_16384', 'vocab_size': 16384, 'debug': False, 'seed': 0, 'gradient_accumulation_steps': 1, 'train_batch_size': 24, 'eval_batch_size': 16, 'test_batch_size': 16, 'seq_len': 512, 'max_eval_steps': 500, 'max_train_steps': 500000, 'decay_steps': 500000, 'max_lr': 0.0006, 'min_lr': 6e-06, 'grad_clip_norm': 0.0, 'tokens_per_second': 0, 'eval_every': 2500, 'test_every': -1, 'log_terminal_every': 100, 'log_metrics_every': 100, 'log_grads_every': 2500, 'log_activations_every': 2500, 'log_ckpt_every': 50000, 'logger_type': 'all', 'wandb_project_name': 'gpt', 'use_flash': False, 'n_layers': 4, 'h_dim': 768, 'mlp_dim': 3072, 'head_dim': 64, 'n_heads': 12, 'project_path': '/home/imanol/Languini/languini/projects/gpt', 'compile': 'default', 'results_pickle_file': '/tmp/tmpggeg36qk/throughput_results_bsz24.pkl', 'n_gpus': 1, 'device': 'cuda', 'exp_name': 'GPT_books16384_bsz24_sl512_coslr0.0006to6e-06_h768_ff3072_nH12_dH64_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16'})",forward and backward,53912064,41329152,NVIDIA GeForce RTX 3090,462.158203125,661.07373046875,12288,94.4840589250837,0.9669769320001671,10.583795947979953,0.10752137459408771,130054,False,1083.06 G,502.51 GMACs,53.91 M
32,16384,tiny,False,512,4,768,3072,64,12,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"Munch({'data_root': '/data/languini_data/books', 'dataset': 'books_16384', 'vocab_size': 16384, 'debug': False, 'seed': 0, 'gradient_accumulation_steps': 1, 'train_batch_size': 32, 'eval_batch_size': 16, 'test_batch_size': 16, 'seq_len': 512, 'max_eval_steps': 500, 'max_train_steps': 500000, 'decay_steps': 500000, 'max_lr': 0.0006, 'min_lr': 6e-06, 'grad_clip_norm': 0.0, 'tokens_per_second': 0, 'eval_every': 2500, 'test_every': -1, 'log_terminal_every': 100, 'log_metrics_every': 100, 'log_grads_every': 2500, 'log_activations_every': 2500, 'log_ckpt_every': 50000, 'logger_type': 'all', 'wandb_project_name': 'gpt', 'use_flash': False, 'n_layers': 4, 'h_dim': 768, 'mlp_dim': 3072, 'head_dim': 64, 'n_heads': 12, 'project_path': '/home/imanol/Languini/languini/projects/gpt', 'compile': 'default', 'results_pickle_file': '/tmp/tmpggeg36qk/throughput_results_bsz32.pkl', 'n_gpus': 1, 'device': 'cuda', 'exp_name': 'GPT_books16384_bsz32_sl512_coslr0.0006to6e-06_h768_ff3072_nH12_dH64_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16'})",forward and backward,53912064,41329152,NVIDIA GeForce RTX 3090,462.158203125,658.10498046875,16384,122.54281888689313,1.276661367198857,8.160412899616736,0.08476751626384192,133700,False,1444.04 G,670.01 GMACs,53.91 M
40,16384,tiny,False,512,4,768,3072,64,12,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"Munch({'data_root': '/data/languini_data/books', 'dataset': 'books_16384', 'vocab_size': 16384, 'debug': False, 'seed': 0, 'gradient_accumulation_steps': 1, 'train_batch_size': 40, 'eval_batch_size': 16, 'test_batch_size': 16, 'seq_len': 512, 'max_eval_steps': 500, 'max_train_steps': 500000, 'decay_steps': 500000, 'max_lr': 0.0006, 'min_lr': 6e-06, 'grad_clip_norm': 0.0, 'tokens_per_second': 0, 'eval_every': 2500, 'test_every': -1, 'log_terminal_every': 100, 'log_metrics_every': 100, 'log_grads_every': 2500, 'log_activations_every': 2500, 'log_ckpt_every': 50000, 'logger_type': 'all', 'wandb_project_name': 'gpt', 'use_flash': False, 'n_layers': 4, 'h_dim': 768, 'mlp_dim': 3072, 'head_dim': 64, 'n_heads': 12, 'project_path': '/home/imanol/Languini/languini/projects/gpt', 'compile': 'default', 'results_pickle_file': '/tmp/tmpggeg36qk/throughput_results_bsz40.pkl', 'n_gpus': 1, 'device': 'cuda', 'exp_name': 'GPT_books16384_bsz40_sl512_coslr0.0006to6e-06_h768_ff3072_nH12_dH64_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16'})",forward and backward,53912064,41329152,NVIDIA GeForce RTX 3090,462.158203125,666.63623046875,20480,149.7619683401925,1.2311750838014435,6.677262666102553,0.05479116827831338,136750,False,1805.13 G,837.52 GMACs,53.91 M
48,16384,tiny,False,512,4,768,3072,64,12,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"Munch({'data_root': '/data/languini_data/books', 'dataset': 'books_16384', 'vocab_size': 16384, 'debug': False, 'seed': 0, 'gradient_accumulation_steps': 1, 'train_batch_size': 48, 'eval_batch_size': 16, 'test_batch_size': 16, 'seq_len': 512, 'max_eval_steps': 500, 'max_train_steps': 500000, 'decay_steps': 500000, 'max_lr': 0.0006, 'min_lr': 6e-06, 'grad_clip_norm': 0.0, 'tokens_per_second': 0, 'eval_every': 2500, 'test_every': -1, 'log_terminal_every': 100, 'log_metrics_every': 100, 'log_grads_every': 2500, 'log_activations_every': 2500, 'log_ckpt_every': 50000, 'logger_type': 'all', 'wandb_project_name': 'gpt', 'use_flash': False, 'n_layers': 4, 'h_dim': 768, 'mlp_dim': 3072, 'head_dim': 64, 'n_heads': 12, 'project_path': '/home/imanol/Languini/languini/projects/gpt', 'compile': 'default', 'results_pickle_file': '/tmp/tmpggeg36qk/throughput_results_bsz48.pkl', 'n_gpus': 1, 'device': 'cuda', 'exp_name': 'GPT_books16384_bsz48_sl512_coslr0.0006to6e-06_h768_ff3072_nH12_dH64_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16'})",forward and backward,53912064,41329152,NVIDIA GeForce RTX 3090,462.158203125,658.91748046875,24576,180.4558552333287,1.8969765708560349,5.541521491264465,0.05850569480394768,136188,False
56,16384,tiny,False,512,4,768,3072,64,12,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"Munch({'data_root': '/data/languini_data/books', 'dataset': 'books_16384', 'vocab_size': 16384, 'debug': False, 'seed': 0, 'gradient_accumulation_steps': 1, 'train_batch_size': 56, 'eval_batch_size': 16, 'test_batch_size': 16, 'seq_len': 512, 'max_eval_steps': 500, 'max_train_steps': 500000, 'decay_steps': 500000, 'max_lr': 0.0006, 'min_lr': 6e-06, 'grad_clip_norm': 0.0, 'tokens_per_second': 0, 'eval_every': 2500, 'test_every': -1, 'log_terminal_every': 100, 'log_metrics_every': 100, 'log_grads_every': 2500, 'log_activations_every': 2500, 'log_ckpt_every': 50000, 'logger_type': 'all', 'wandb_project_name': 'gpt', 'use_flash': False, 'n_layers': 4, 'h_dim': 768, 'mlp_dim': 3072, 'head_dim': 64, 'n_heads': 12, 'project_path': '/home/imanol/Languini/languini/projects/gpt', 'compile': 'default', 'results_pickle_file': '/tmp/tmpggeg36qk/throughput_results_bsz56.pkl', 'n_gpus': 1, 'device': 'cuda', 'exp_name': 'GPT_books16384_bsz56_sl512_coslr0.0006to6e-06_h768_ff3072_nH12_dH64_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16'})",forward and backward,53912064,41329152,NVIDIA GeForce RTX 3090,462.158203125,659.32373046875,28672,207.94473920549666,1.3754370512141956,4.808969939902028,0.03171639063420439,137883,False
64,16384,tiny,False,512,4,768,3072,64,12,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"Munch({'data_root': '/data/languini_data/books', 'dataset': 'books_16384', 'vocab_size': 16384, 'debug': False, 'seed': 0, 'gradient_accumulation_steps': 1, 'train_batch_size': 64, 'eval_batch_size': 16, 'test_batch_size': 16, 'seq_len': 512, 'max_eval_steps': 500, 'max_train_steps': 500000, 'decay_steps': 500000, 'max_lr': 0.0006, 'min_lr': 6e-06, 'grad_clip_norm': 0.0, 'tokens_per_second': 0, 'eval_every': 2500, 'test_every': -1, 'log_terminal_every': 100, 'log_metrics_every': 100, 'log_grads_every': 2500, 'log_activations_every': 2500, 'log_ckpt_every': 50000, 'logger_type': 'all', 'wandb_project_name': 'gpt', 'use_flash': False, 'n_layers': 4, 'h_dim': 768, 'mlp_dim': 3072, 'head_dim': 64, 'n_heads': 12, 'project_path': '/home/imanol/Languini/languini/projects/gpt', 'compile': 'default', 'results_pickle_file': '/tmp/tmpggeg36qk/throughput_results_bsz64.pkl', 'n_gpus': 1, 'device': 'cuda', 'exp_name': 'GPT_books16384_bsz64_sl512_coslr0.0006to6e-06_h768_ff3072_nH12_dH64_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16'})",forward and backward,53912064,41329152,NVIDIA GeForce RTX 3090,462.158203125,661.72998046875,32768,235.57669285365515,1.7247860258833092,4.2449021076173254,0.03098006414970249,139097,False
72,16384,tiny,False,512,4,768,3072,64,12,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"Munch({'data_root': '/data/languini_data/books', 'dataset': 'books_16384', 'vocab_size': 16384, 'debug': False, 'seed': 0, 'gradient_accumulation_steps': 1, 'train_batch_size': 72, 'eval_batch_size': 16, 'test_batch_size': 16, 'seq_len': 512, 'max_eval_steps': 500, 'max_train_steps': 500000, 'decay_steps': 500000, 'max_lr': 0.0006, 'min_lr': 6e-06, 'grad_clip_norm': 0.0, 'tokens_per_second': 0, 'eval_every': 2500, 'test_every': -1, 'log_terminal_every': 100, 'log_metrics_every': 100, 'log_grads_every': 2500, 'log_activations_every': 2500, 'log_ckpt_every': 50000, 'logger_type': 'all', 'wandb_project_name': 'gpt', 'use_flash': False, 'n_layers': 4, 'h_dim': 768, 'mlp_dim': 3072, 'head_dim': 64, 'n_heads': 12, 'project_path': '/home/imanol/Languini/languini/projects/gpt', 'compile': 'default', 'results_pickle_file': '/tmp/tmpggeg36qk/throughput_results_bsz72.pkl', 'n_gpus': 1, 'device': 'cuda', 'exp_name': 'GPT_books16384_bsz72_sl512_coslr0.0006to6e-06_h768_ff3072_nH12_dH64_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16'})",forward and backward,53912064,41329152,NVIDIA GeForce RTX 3090,462.158203125,661.26171875,36864,264.6778455461775,1.3502739476413073,3.778177950392653,0.019264692627881087,139279,False
76,16384,tiny,False,512,4,768,3072,64,12,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"Munch({'data_root': '/data/languini_data/books', 'dataset': 'books_16384', 'vocab_size': 16384, 'debug': False, 'seed': 0, 'gradient_accumulation_steps': 1, 'train_batch_size': 76, 'eval_batch_size': 16, 'test_batch_size': 16, 'seq_len': 512, 'max_eval_steps': 500, 'max_train_steps': 500000, 'decay_steps': 500000, 'max_lr': 0.0006, 'min_lr': 6e-06, 'grad_clip_norm': 0.0, 'tokens_per_second': 0, 'eval_every': 2500, 'test_every': -1, 'log_terminal_every': 100, 'log_metrics_every': 100, 'log_grads_every': 2500, 'log_activations_every': 2500, 'log_ckpt_every': 50000, 'logger_type': 'all', 'wandb_project_name': 'gpt', 'use_flash': False, 'n_layers': 4, 'h_dim': 768, 'mlp_dim': 3072, 'head_dim': 64, 'n_heads': 12, 'project_path': '/home/imanol/Languini/languini/projects/gpt', 'compile': 'default', 'results_pickle_file': '/tmp/tmpggeg36qk/throughput_results_bsz76.pkl', 'n_gpus': 1, 'device': 'cuda', 'exp_name': 'GPT_books16384_bsz76_sl512_coslr0.0006to6e-06_h768_ff3072_nH12_dH64_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16'})",forward and backward,53912064,41329152,NVIDIA GeForce RTX 3090,462.158203125,663.15234375,38912,274.29055568150113,1.6736687889631436,3.6457689821488906,0.02207376449449305,141864,False
77,16384,tiny,False,512,4,768,3072,64,12,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"Munch({'data_root': '/data/languini_data/books', 'dataset': 'books_16384', 'vocab_size': 16384, 'debug': False, 'seed': 0, 'gradient_accumulation_steps': 1, 'train_batch_size': 77, 'eval_batch_size': 16, 'test_batch_size': 16, 'seq_len': 512, 'max_eval_steps': 500, 'max_train_steps': 500000, 'decay_steps': 500000, 'max_lr': 0.0006, 'min_lr': 6e-06, 'grad_clip_norm': 0.0, 'tokens_per_second': 0, 'eval_every': 2500, 'test_every': -1, 'log_terminal_every': 100, 'log_metrics_every': 100, 'log_grads_every': 2500, 'log_activations_every': 2500, 'log_ckpt_every': 50000, 'logger_type': 'all', 'wandb_project_name': 'gpt', 'use_flash': False, 'n_layers': 4, 'h_dim': 768, 'mlp_dim': 3072, 'head_dim': 64, 'n_heads': 12, 'project_path': '/home/imanol/Languini/languini/projects/gpt', 'compile': 'default', 'results_pickle_file': '/tmp/tmpggeg36qk/throughput_results_bsz77.pkl', 'n_gpus': 1, 'device': 'cuda', 'exp_name': 'GPT_books16384_bsz77_sl512_coslr0.0006to6e-06_h768_ff3072_nH12_dH64_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16'})",forward and backward,53912064,41329152,NVIDIA GeForce RTX 3090,462.158203125,662.28125,39424,280.27408272879467,0.602005467126314,3.5679360369814974,0.0076725696385054375,140662,False
78,16384,tiny,False,512,4,768,3072,64,12,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"Munch({'data_root': '/data/languini_data/books', 'dataset': 'books_16384', 'vocab_size': 16384, 'debug': False, 'seed': 0, 'gradient_accumulation_steps': 1, 'train_batch_size': 77, 'eval_batch_size': 16, 'test_batch_size': 16, 'seq_len': 512, 'max_eval_steps': 500, 'max_train_steps': 500000, 'decay_steps': 500000, 'max_lr': 0.0006, 'min_lr': 6e-06, 'grad_clip_norm': 0.0, 'tokens_per_second': 0, 'eval_every': 2500, 'test_every': -1, 'log_terminal_every': 100, 'log_metrics_every': 100, 'log_grads_every': 2500, 'log_activations_every': 2500, 'log_ckpt_every': 50000, 'logger_type': 'all', 'wandb_project_name': 'gpt', 'use_flash': False, 'n_layers': 4, 'h_dim': 768, 'mlp_dim': 3072, 'head_dim': 64, 'n_heads': 12, 'project_path': '/home/imanol/Languini/languini/projects/gpt', 'compile': 'default', 'results_pickle_file': '/tmp/tmpggeg36qk/throughput_results_bsz77.pkl', 'n_gpus': 1, 'device': 'cuda', 'exp_name': 'GPT_books16384_bsz77_sl512_coslr0.0006to6e-06_h768_ff3072_nH12_dH64_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16'})",forward and backward,53912064,41329152,NVIDIA GeForce RTX 3090,0,0,0,0,0,0,0,0,True
80,16384,tiny,False,512,4,768,3072,64,12,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"Munch({'data_root': '/data/languini_data/books', 'dataset': 'books_16384', 'vocab_size': 16384, 'debug': False, 'seed': 0, 'gradient_accumulation_steps': 1, 'train_batch_size': 77, 'eval_batch_size': 16, 'test_batch_size': 16, 'seq_len': 512, 'max_eval_steps': 500, 'max_train_steps': 500000, 'decay_steps': 500000, 'max_lr': 0.0006, 'min_lr': 6e-06, 'grad_clip_norm': 0.0, 'tokens_per_second': 0, 'eval_every': 2500, 'test_every': -1, 'log_terminal_every': 100, 'log_metrics_every': 100, 'log_grads_every': 2500, 'log_activations_every': 2500, 'log_ckpt_every': 50000, 'logger_type': 'all', 'wandb_project_name': 'gpt', 'use_flash': False, 'n_layers': 4, 'h_dim': 768, 'mlp_dim': 3072, 'head_dim': 64, 'n_heads': 12, 'project_path': '/home/imanol/Languini/languini/projects/gpt', 'compile': 'default', 'results_pickle_file': '/tmp/tmpggeg36qk/throughput_results_bsz77.pkl', 'n_gpus': 1, 'device': 'cuda', 'exp_name': 'GPT_books16384_bsz77_sl512_coslr0.0006to6e-06_h768_ff3072_nH12_dH64_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16'})",forward and backward,53912064,41329152,NVIDIA GeForce RTX 3090,0,0,0,0,0,0,0,0,True
1,16384,mini,False,512,4,512,2048,32,8,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"Munch({'data_root': '/data/languini_data/books', 'dataset': 'books_16384', 'vocab_size': 16384, 'debug': False, 'seed': 0, 'gradient_accumulation_steps': 1, 'train_batch_size': 1, 'eval_batch_size': 16, 'test_batch_size': 16, 'seq_len': 512, 'max_eval_steps': 500, 'max_train_steps': 500000, 'decay_steps': 500000, 'max_lr': 0.0006, 'min_lr': 6e-06, 'grad_clip_norm': 0.0, 'tokens_per_second': 0, 'eval_every': 2500, 'test_every': -1, 'log_terminal_every': 100, 'log_metrics_every': 100, 'log_grads_every': 2500, 'log_activations_every': 2500, 'log_ckpt_every': 50000, 'logger_type': 'all', 'wandb_project_name': 'gpt', 'use_flash': False, 'n_layers': 4, 'h_dim': 512, 'mlp_dim': 2048, 'head_dim': 32, 'n_heads': 8, 'project_path': '/home/imanol/Languini/languini/projects/gpt', 'compile': 'default', 'results_pickle_file': '/tmp/tmpiq5rtru0/throughput_results_bsz1.pkl', 'n_gpus': 1, 'device': 'cuda', 'exp_name': 'GPT_books16384_bsz1_sl512_coslr0.0006to6e-06_h512_ff2048_nH8_dH32_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16'})",forward and backward,27549696,19161088,NVIDIA GeForce RTX 3090,361.09375,347.54052734375,512,19.68808909824916,1.6393678936136846,50.79213096861334,4.4663228121553145,26006,False,20.42 G,9.66 GMACs,27.55 M
8,16384,mini,False,512,4,512,2048,32,8,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"Munch({'data_root': '/data/languini_data/books', 'dataset': 'books_16384', 'vocab_size': 16384, 'debug': False, 'seed': 0, 'gradient_accumulation_steps': 1, 'train_batch_size': 8, 'eval_batch_size': 16, 'test_batch_size': 16, 'seq_len': 512, 'max_eval_steps': 500, 'max_train_steps': 500000, 'decay_steps': 500000, 'max_lr': 0.0006, 'min_lr': 6e-06, 'grad_clip_norm': 0.0, 'tokens_per_second': 0, 'eval_every': 2500, 'test_every': -1, 'log_terminal_every': 100, 'log_metrics_every': 100, 'log_grads_every': 2500, 'log_activations_every': 2500, 'log_ckpt_every': 50000, 'logger_type': 'all', 'wandb_project_name': 'gpt', 'use_flash': False, 'n_layers': 4, 'h_dim': 512, 'mlp_dim': 2048, 'head_dim': 32, 'n_heads': 8, 'project_path': '/home/imanol/Languini/languini/projects/gpt', 'compile': 'default', 'results_pickle_file': '/tmp/tmpiq5rtru0/throughput_results_bsz8.pkl', 'n_gpus': 1, 'device': 'cuda', 'exp_name': 'GPT_books16384_bsz8_sl512_coslr0.0006to6e-06_h512_ff2048_nH8_dH32_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16'})",forward and backward,27549696,19161088,NVIDIA GeForce RTX 3090,361.09375,347.56787109375,4096,25.985492842538015,0.5034409893240049,38.48301073447447,0.729791489286586,157626,False,163.37 G,77.31 GMACs,27.55 M
